SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Young's Modulus (kPa) log10,À´Ô´
[*]OCCCCOC(CCC([*])=O)=O,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OCC(O)CO,O=C=NC(C=C1)=CC=C1CC2=CC=C(C=C2)N=C=O,,5.79309160017658,10.7569_jrm.2013.634135_part_1.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[Al],[C],,,6.041392685158225,10.1007_s42452-018-0048-1_part_1.txt_¶Î1_Material1
[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,C=C(C)C(=O)OCC(O)COC1=CC=C(C(C2=CC=C(O)C=C2)(C)C)C=C1,C(C1=CC=C(N2C(=O)C=CC2=O)C=C1)C1=CC=C(N2C(=O)C=CC2=O)C=C1,,,5.893206753059848,10.1177_0954008311436263_part_1.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[*]C(C)C[*],[*]CC[*],[*]CC[*],6.301029995663981,10.3390_polym13091369_part_2.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=[Al]O[Al]=O,O=[Ti]=O,O=[Si]=O,O=[Si]=O,6.252644325390492,10.1016_j.porgcoat.2013.07.009_part_1.txt_¶Î1_Material1
[*]C(C)C[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,,5.377488383376133,10.1016_j.conbuildmat.2013.09.028_part_1.txt_¶Î1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,O=C([*])C(C)O[*],OCC(O)CO,OC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,[*]OCC[*],6.301029995663981,10.1007_s10924-021-02207-1_part_1.txt_¶Î1_Material1
[*]C(C)C[*],[*]CC[*],O=[Si]=O.[Ca]=O,O=[Si]=O,,6.778151250383644,10.1617_s11527-013-0098-1_part_1.txt_¶Î1_Material1
O=C(C1=CC=C(C([*])=O)C=C1)NC2=CCC(N[*])C=C2,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,6.3979400086720375,10.1080_03602551003773163_part_1.txt_¶Î1_Material1
[*]CC([*])Cl,O=C([O-])[O-].[Ca+2],[Mg]=O,O=[Al]O[Al]=O,O=[Si]=O,6.176091259055681,10.1002_app.51469_part_1.txt_¶Î1_Material1
[*]C(C)C[*],CC(CC(C(C(O1)=O)CC1=O)[*])C[*],[*]C/C=C/CCC([*])C#N,,,6,10.1080_03602559.2010.496420_part_1.txt_¶Î1_Material1
[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COC(C)=O)OC1COC(C)=O,[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COCCO)OC1COCCO,O=C(C1=CC=C(C=C1)OCCOC(C=C)=O)C(C)(C)O,[C],,5.987634987448437,10.1016_j.carbpol.2018.12.026_part_1.txt_¶Î1_Material1
[*]C([H])([H])C(O)([H])[*],OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],,,,5.998808399880894,10.1002_mawe.202000030_part_2.txt_¶Î1_Material1
[*]CCCC([*])OC(C)=O,O=C([O-])[O-].[Ca+2],,,,4.195899652409234,10.1016_j.msea.2011.02.006_part_1.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[*]C([H])([H])C(O)([H])[*],,,6.477121254719663,10.1039_c3tb20059k_part_1.txt_¶Î1_Material1
[*]C(C)C[*],C/C(C[*])=C/C[*],NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,[H][Si]([H])([H])[H],,6.079181246047625,10.1002_pc.22178_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],[*]C(CCCCCO[*])=O,,,,5.836197480778925,10.1155_2014_213180_part_1.txt_¶Î1_Material1
