SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Young's Modulus (kPa) log10,À´Ô´
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,,,6.238046103128795,10.1021_acs.iecr.8b06362_part_2.txt_¶Î1_Material1
[*]CC[*],C=C([CH3])C(=O)O[CH3],COC(C(C[*])([*])C)=O,,,5.380211241711606,10.1021_ie4043196_part_2.txt_¶Î1_Material1
[*]C([H])([H])C(O)([H])[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,[Fe]12O[Fe]O[Fe](O2)O1,,,6.342422680822207,10.1016_j.cej.2013.10.055_part_1.txt_¶Î1_Material1
[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,C=C([CH3])C(=O)O[CH3],,,,6.380211241711606,10.1080_03602550903413979_part_1.txt_¶Î1_Material1
[*]CC[*],[*]OC(CC(OC(CC([*])=O)CC)=O)C,[*]CC(CC[*])O,,,5.931966114728173,10.1002_app.37957_part_1.txt_¶Î1_Material2
O=C([*])C(C)O[*],[*]C(CCCCCO[*])=O,O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[OH-],,,6.146128035678238,10.3390_app11094253_part_2.txt_¶Î1_Material3
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,OCC(O)CO,,,,5.330616667294438,10.1016_j.carbpol.2010.03.005_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],[Zn]=O,,,,6.380211241711606,10.3390_molecules26071967_part_2.txt_¶Î1_Material2
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[*]C(C)C[*],O=[Si]=O,,,7.054613054556888,10.1177_0021998316644972_part_2.txt_¶Î1_Material1
[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,[*]C([H])([H])C(O)([H])[*],[*]OCC[*],Cl[Fe](Cl)Cl,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,6.778151250383644,10.1002_adfm.202103391_part_1.txt_¶Î1_Material1
[*]C(C)C[*],NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,O=[Si]=O,,,6.041392685158225,10.1016_j.compscitech.2010.10.012_part_1.txt_¶Î1_Material1
[*]C(F)(C(F)([*])F)F,,,,,5.390122251506701,10.1088_2053-1591_aa68b6_part_2.txt_¶Î1_Material1
[*]CC[*],[*]C/C=C/CCC([*])C#N,O=[Ti]=O,,,6.079181246047625,10.1177_0892705718761557_part_3.txt_¶Î1_Material1
C[Si](C)(C[*])O[*],[Cu],[Ag+],,,3.380211241711606,10.1002_pc.25270_part_2.txt_¶Î1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,[*]C1=CC=C([*])N1,O=[Si]=O,,,5.079181246047625,10.1002_macp.202000155_part_1.txt_¶Î1_Material2
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,O=[Fe]O[Fe]=O,,,,6.079181246047625,10.1680_jgrma.17.00009_part_2.txt_¶Î1_Material1
C[Si](C)(C[*])O[*],[Zn]=O,,,,3.4099331233312946,10.1002_admt.202000229_part_1.txt_¶Î1_Material1
[*]C/C=C/CCC(C/C=C\C[*])C=C,,,,,3.5118833609788744,10.1021_acsami.1c06727_part_1.txt_¶Î1_Material1
[*]C(C)C[*],C=CC1=CC=CC=C1,,,,5.544068044350276,10.1002_app.44750_part_1.txt_¶Î1_Material1
[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COC(C)=O)OC1COC(C)=O,O=C([*])C1=CC=C(C=C1)OC2=CC=C(C=C2)OC3=CC=C(C=C3)[*],,,,6.506505032404872,10.1016_j.compositesb.2015.12.008_part_2.txt_¶Î1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]C(CCCCCO[*])=O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,,,4.79309160017658,10.1080_10601325.2012.722855_part_1.txt_¶Î1_Material1
[*]C(C)C[*],O=[Si]=O.[Ca]=O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O.O,,,7.301029995663981,10.1016_j.conbuildmat.2017.12.143_part_1.txt_¶Î1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,,,5.079181246047625,10.1021_acs.biomac.9b01255_part_8.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[C],,,,5.986771734266245,10.1002_app.40421_part_1.txt_¶Î1_Material1
[*]C(C)C[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,,,,6.252853030979893,10.1007_s11029-015-9496-5_part_1.txt_¶Î1_Material1
[*]CC[*],[*]CC(C(CCC)=O)([*])C,[*]CCCC([*])OC(C)=O,,,6.431363764158987,10.1016_j.compscitech.2010.06.006_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],C=C([CH3])C(=O)O[CH3],O=C(O)CCCCCCCCCCCCCCCCC,,,6.391993072259713,10.1002_app.42378_part_1.txt_¶Î1_Material1
[*]C(C)C[*],O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CCC(CCCCCC)C[*],[*]CCC(CCCCCC)C[*],,6.315970345456917,10.3390_polym10030291_part_3.txt_¶Î1_Material1
[*]N1C(C2=CC3=C(C=C2C1=O)C(N(C3=O)C4=CC=C(C=C4)OC5=CC=C(C=C5)[*])=O)=O,C[Si](C)(C[*])O[*],,,,6.05307844348342,10.1515_epoly-2024-0104_OA_part_2.txt_¶Î1_Material1
[*]CC[*],O=C1C([*])C(CC[*])C(O1)=O,O=C(O)CCCCCCCCCCCCCCCCC,,,6.723455672035186,10.1016_j.conbuildmat.2019.117499_part_1.txt_¶Î1_Material1
[*]C(C)C[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,O=[Ti]=O,,,6.477121254719663,10.1016_j.jallcom.2010.09.051_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],[*]C(C1=CC=C(C=C1)C(OCCCCOC(C2=CC=C(C=C2)C(OCCCCO[*])=O)=O)=O)=O,O=[Si]=O.O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O,,,6.223080397831155,10.1002_app.50443_part_1.txt_¶Î1_Material1
[*]C(C(OC(CO[*])=O)C)=O,[*]C(CCCCCO[*])=O,[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,[Ag+],[*]NC(C)C(N1CCCC1C([*])=O)=O,4.484299839346786,10.1021_acsami.9b07053_part_4.txt_¶Î1_Material1
[*]C(C)C[*],[*]CC(C1=CC=CC=C1)[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,6.55351894014897,10.1002_pc.23647_part_1.txt_¶Î1_Material1
[*]C(C)C[*],[*]CCCC(CCCCCC)[*],[*]C(C)C[*],,,6.068445618354351,10.1016_j.compscitech.2012.06.007_part_2.txt_¶Î1_Material4
[*]C1OC(CCC)OC(C[*])C1,[H]O[H],,,,5.989004615698537,10.1002_app.47230_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],O=C(C1=CC=C(C([*])=O)C=C1)NC2=CCC(N[*])C=C2,,,,6.3979400086720375,10.3390_polym11020349_part_1.txt_¶Î1_Material1
O=C=NC(C=C1)=CC=C1CC2=CC=C(C=C2)N=C=O,[*]CCCCOCCCCOCCCCOCCCCO[*],OCCCCO,,,4.158362492095249,10.1021_acs.biomac.9b01255_part_4.txt_¶Î1_Material4
[*]C(C)C[*],C/C(C[*])=C/C[*],[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,,,6.1068026275996505,10.1016_j.compositesa.2010.07.007_part_1.txt_¶Î1_Material2
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C([H])([H])C(O)([H])[*],[H]O[H],,6.018650576891155,10.1016_j.carbpol.2019.03.093_part_7.txt_¶Î1_Material1
O=C([*])C(C)O[*],[*]OCC[*],,,,6.073105874968971,10.3390_polym12020427_part_3.txt_¶Î1_Material1
O=C([*])CCCCCN[*],O=[Si]=O,NCCC[Si](OCC)(OCC)OCC,,,6.565847818673518,10.1080_14328917.2021.1873479_part_2.txt_¶Î1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,O=[Ti]=O,,,,6.770852011642144,10.1007_s10570-013-9898-2_part_2.txt_¶Î1_Material3
O=C([*])CCCCCN[*],[*]CC[*],[*]OCC[*],,,6.585460729508501,10.1002_app.34648_part_2.txt_¶Î1_Material1
[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COC(C)=O)OC1COC(C)=O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,,6.068185861746161,10.1007_s10570-015-0665-4_part_1.txt_¶Î1_Material1
[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,O=[Si]=O,O=[Si]=O.[Ca]=O,,,7.230448921378274,10.4028_www.scientific.net_msf.857.426_part_1.txt_¶Î1_Material1
[*]C(CCCCCO[*])=O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[Zn]=O,,,3.416640507338281,10.1016_j.ijpharm.2020.119413_part_2.txt_¶Î1_Material1
[*]C(C)C[*],CNC(CNC(CN)=O)=O,,,,6.990338854787601,10.62051_d4gz0m57_OA_part_1.txt_¶Î1_Material1
[*]CC[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,C=C([CH3])C(=O)OC([CH3])[CH3],,,6.32221929473392,10.3390_polym13152564_part_1.txt_¶Î1_Material1
O=C([*])CCCCCN[*],[*]CC[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,,,5.900312496983727,10.1002_pen.23866_part_1.txt_¶Î1_Material1
OP(O)(O)=O,O=C([*])C(C)O[*],,,,6.162603234417704,10.1177_0021998317752227_part_1.txt_¶Î1_Material1
[*]C(C)C[*],[*]C(C)C[*],[H][O-],,,6.282168778304642,10.1002_app.51350_part_2.txt_¶Î1_Material1
O=C([*])CCCCCN[*],[H][Si]([H])([H])[H],,,,6.342422680822207,10.1002_pc.22787_part_1.txt_¶Î1_Material1
[*]C([H])([H])C(O)([H])[*],[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,,,,6.939519252618618,10.1007_s10570-017-1387-6_part_3.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C(C)C[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,NC1=NC2=C(N=CN2C2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]2O)C(=O)N1,,6.041392685158225,10.1002_pc.22863_part_1.txt_¶Î1_Material1
O=C(O[*])CCCCCCCCCCN[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,,,,5.993876914941211,10.1016_j.eurpolymj.2017.03.008_part_4.txt_¶Î1_Material3
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]C/C=C/CCC([*])C#N,[*]C/C=C/CCC([*])C#N,,6.19258417809083,10.1080_03602559.2013.763349_part_1.txt_¶Î1_Material1
C[Si](C)(C[*])O[*],[*]O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)[*],,,,2.4149733479708178,10.1016_j.porgcoat.2019.105266_part_1.txt_¶Î1_Material1
[*]CC[*],[*]CCCC([*])OC(C)=O,[*]OCC[*],,,5.700617195682057,10.11113_jt.v74.4845_part_1.txt_¶Î1_Material1
[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,,,,6.486146996806573,10.1002_app.48888_part_3.txt_¶Î1_Material1
OC1C(O[*])C(C(O[Ca]O2)=O)OC(OC3C(O)C(O)C(OC4C(C(O[Ca]O5)=O)OC(OC6C(O)C(O)C(OC7C(C(O[Ca]O8)=O)OC(OC9C(O)C(O)C([*])OC9C8=O)C(O)C7O)OC6C5=O)C(O)C4O)OC3C2=O)C1O,OCC(O)CO,O=C(O)/C1=C/N(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,,,4.778151250383644,10.4155_tde-2017-0104_part_2.txt_¶Î1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OC(C(CC(O)=O)(CC(O)=O)O)=O,,,5.267171728403014,10.4028_www.scientific.net_ssp.280.323_part_1.txt_¶Î1_Material1
[*]N1C(C2=CC3=C(C=C2C1=O)C(N(C3=O)C4=CC=C(C=C4)OC5=CC=C(C=C5)[*])=O)=O,[*]O[Si](C)(C)[*],[Ag],,,6.094121595840561,10.1016_j.mtcomm.2020.100959_part_1.txt_¶Î1_Material1
FC(F)([*])C([H])([*])[H],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,[*]C1=CC=C([*])N1,,,5.7160033436348,10.1038_s41598-019-46305-6_part_1.txt_¶Î1_Material1
[*]C(C)C[*],OC(C(CC(O)=O)(CC(O)=O)O)=O,,,,6.12057393120585,10.3390_polym12040929_part_2.txt_¶Î1_Material3
[*]C([H])([H])C(O)([H])[*],[*]OCC[*],,,,5.826074802700826,10.1109_jsen.2020.3027672_part_1.txt_¶Î1_Material1
[*]C(C)C[*],O=C([*])CCCCCN[*],[Mg],,,6.176091259055681,10.15282_ijame.8.2013.19.0107_OA_part_3.txt_¶Î1_Material2
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,C(CC=O)CC=O,,,,7.089905111439398,10.1016_j.matlet.2019.05.002_part_1.txt_¶Î1_Material1
[*]CC[*],[H][O-],,,,5.915529101693082,10.4186_ej.2017.21.2.25_OA_part_3.txt_¶Î1_Material1
O=C([*])C(C)O[*],[Mg]=O,,,,6.292256071356476,10.3390_molecules26071967_part_2.txt_¶Î1_Material3
O=C([*])C(C)O[*],[*]OCCCCOC(CCC([*])=O)=O,,,,6.301029995663981,10.3390_polym13152489_part_3.txt_¶Î1_Material2
[*]CC(C#N)[*],C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,,,6.657715402868895,10.1002_app.43235_part_1.txt_¶Î1_Material1
[*]C(C)C[*],[*]CCCC([*])OC(C)=O,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,,,5.824054205231849,10.1177_0095244312439491_part_2.txt_¶Î1_Material1
C=C([CH3])C(=O)O[CH3],[*]CC([*])N1CCCC1=O,,,,6.313867220369153,10.18280_rcma.330503_OA_part_2.txt_¶Î1_Material1
[*]CC([*])Cl,C=C([CH3])C(=O)O[CH3],O=[Fe]O[Fe]=O,,,6.298350837719157,10.1080_10739149.2016.1164713_part_1.txt_¶Î1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,O=C([*])C(C)O[*],O1C(=O)C=CC1=O,,,5.446350734582306,10.1155_2015_627268_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,O1C(=O)C=CC1=O,,,5.510129282621902,10.1155_2015_627268_part_2.txt_¶Î1_Material1
[*]C(CCCCCO[*])=O,[*]C(CCCCCO[*])=O,C=C([CH3])C(=O)OC([CH3])[CH3],[H][O-],,5.414137362184476,10.1002_pat.5367_part_2.txt_¶Î1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,CCO,,,,3.968949680981343,10.1016_j.jmbbm.2018.03.025_part_1.txt_¶Î1_Material1
[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,O=C(C1=COC(C2C(CO)=CCC12)O)OC,,,5.477121254719663,10.1021_bm301174x_part_2.txt_¶Î1_Material1
C[Si](C)(C[*])O[*],C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,[Ag],,,2.7781512503836434,10.1021_acsami.8b01050_part_2.txt_¶Î1_Material1
[*]C([H])([H])C(O)([H])[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]OCC[*],OCC(O)CO,,5.110589710299249,10.1016_j.carbpol.2019.115784_part_3.txt_¶Î1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,CC(=O)O,,,,6.114610984232173,10.3390_ijms22073329_part_3.txt_¶Î1_Material1
O=C([*])C(C)O[*],[*]C(CCCCCO[*])=O,[*]OC1OC(CO)C(OC2C(O)C(O)C([*])C(CO)O2)C(O)C1O,[H][Si]([H])([H])[H],,6.812913356642856,10.1002_pc.22145_part_1.txt_¶Î1_Material1
[*]C(C)C[*],[*]CC[*],[*]CC(C1=CC=CC=C1)[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,6,10.14233_ajchem.2024.30711_OA_part_1.txt_¶Î1_Material1
[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],,,,6.301029995663981,10.1016_j.apsusc.2017.12.168_part_1.txt_¶Î1_Material1
[*]O[C@H](C)CC([*])=O,CCOC(=O)C(O)(CC(=O)OCC)CC(=O)OCC,,,,5.271841606536499,10.1002_app.49990_part_2.txt_¶Î1_Material1
O=C([*])C(C)O[*],C/C(C[*])=C/C[*],C/C(C[*])=C/C[*],C=C([CH3])C(=O)OC([CH3])[CH3],,5.671172842715083,10.1002_app.48297_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],C/C(C[*])=C/C[*],C=C([CH3])C(=O)OC([CH3])[CH3],,,5.112605001534575,10.1002_app.48297_part_2.txt_¶Î1_Material1
O=C([*])CCCCCN[*],[Zn]=O,,,,6,10.1002_app.38714_part_1.txt_¶Î1_Material1
[*]CC([*])Cl,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,,5.863715332533698,10.1016_j.jiec.2018.07.051_part_3.txt_¶Î1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,C[Si](C)(C[*])O[*],,,,3.857332496431269,10.5254_rct.15.84885_part_1.txt_¶Î1_Material1
[*]C(C)C[*],[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,[*]CC(C1=CC=CC=C1)C/C=C/C[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,,6.278753600952829,10.1007_s13726-021-00963-4_part_3.txt_¶Î1_Material1
FC(F)([*])C([H])([*])[H],[*]C([H])([H])C(O)([H])[*],[*]NC(C)C(N1CCCC1C([*])=O)=O,,,4.597826770377936,10.15282_jmes.19.1.2025.9.0826_OA_part_2.txt_¶Î1_Material3
[*]C(C)C[*],[*]CCC(CCCCCC)C[*],O=C([O-])[O-].[Ca+2],,,6,10.1002_pc.23210_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],O=C([*])C(C)O[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,O=C([*])C(C)O[*],,6.187520720836463,10.1177_0892705717734600_part_2.txt_¶Î1_Material1
[*]C(C)C[*],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,[*]C(C)C[*],,,6.079181246047625,10.3390_polym11101557_part_2.txt_¶Î1_Material3
O=C(C1=CC=C(C=C1)C(NC2=CC=C([*])C=C2)=O)NC3=CC=C([*])C=C3,,,,,6.732393759822968,10.1016_j.polymer.2017.11.064_part_1.txt_¶Î1_Material1
[*]C([H])([H])C(O)([H])[*],[*]C(CCCCCO[*])=O,O=[Ti]=O,,,6.477121254719663,10.1016_j.compositesb.2014.12.028_part_1.txt_¶Î1_Material1
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[Ca+2],,,4.697229342759718,10.1016_j.apmt.2016.07.006_part_2.txt_¶Î1_Material1
[*]OCC[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,,6.4623979978989565,10.1016_j.compscitech.2012.08.004_part_1.txt_¶Î1_Material1
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]CC(C#N)[*],O=[Ti]=O,,,6.193124598354461,10.1007_s10854-020-03483-8_part_2.txt_¶Î1_Material1
[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[OH-],,,,4.580354661106592,10.1049_mnl.2018.0047_part_1.txt_¶Î1_Material1
OCC1OC(C(C(C1O[*])O)O)[*],[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,,,5.507855871695831,10.1007_s10570-011-9623-y_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],[*]C(CCCCC(OCCCCO[*])=O)=O,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,O=C=NC(C=C1)=CC=C1CC2=CC=C(C=C2)N=C=O,O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Mg].O=[Mg].O,6.185763070409576,10.4028_www.scientific.net_amr.747.673_part_1.txt_¶Î1_Material1
[*][C@H]1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H]([C@@H](O)[C@H](O[C@H]3[C@H](O)[C@H](O)[C@H](O[C@H]4[C@H](O)[C@H](O)[C@H](O[*])O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2COC(C)=O)O)O[C@@H]1CO,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,,6.071882007306125,10.1007_s10570-019-02302-6_part_1.txt_¶Î1_Material1
[*]C/C=C/CCC([*])C#N,C/C(C[*])=C/C[*],[Mg],[Mg],,3.146128035678238,10.1007_s42464-022-00184-1_OA_part_1.txt_¶Î1_Material2
[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COC(C)=O)OC1COC(C)=O,[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,,,,6.207095540419218,10.1016_j.carbpol.2021.118620_part_1.txt_¶Î1_Material1
OCC1OC(C(C(C1O[*])O)O)[*],,,,,6.741151598851785,10.1007_s10570-016-0872-7_part_2.txt_¶Î1_Material1
[*]CC[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,O=[Si]=O.O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O,,,6.776327733563306,10.3390_ma11020291_part_2.txt_¶Î1_Material2
[*]CC[*],[*]CC[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,,,6.079181246047625,10.1016_j.carbpol.2015.12.057_part_3.txt_¶Î1_Material1
O=C([*])C(C)O[*],[*]CC[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]CC[*],,6.100025730107863,10.1080_00222348.2017.1280742_part_1.txt_¶Î1_Material1
[*]NCCCCCCCCCCCC([*])=O,[Au],,,,6.6020599913279625,10.1007_s40964-025-01159-5_OA_part_1.txt_¶Î1_Material1
[*]CCC(CCCC(CCCC(C[*])C)C)C,C[Si](O[*])(C)[*],,,,5.247973266361806,10.1088_1757-899x_757_1_012037_part_2.txt_¶Î1_Material1
