SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Tensile Strength (MPa) log10,À´Ô´
O=C([*])CCCCCCCCCCC(NCCCCCCCCCCN[*])=O,C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,,,,1.6020599913279625,10.1515_adms-2017-0013_part_1.txt_¶Î1_Material1
[*]OC1C(C(OC(C1O)OC2C3C(C(OC2CO3)[*])O)CO)O,O=C(C(C[*])[*])N,[Na+].[Cl-],,,-0.397940009,10.1016_j.carbpol.2019.01.094_part_1.txt_¶Î1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],C=C([CH3])C(=O)O[CH3],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,1.6954816764901974,10.1016_j.cap.2017.05.007_part_6.txt_¶Î1_Material1
[*]CC(C1=CC=CC=C1)[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,,,1.4393326938302626,10.1002_pen.25273_part_1.txt_¶Î1_Material1
[*]CC([*])Cl,[*]NC(C1=CC=C2C(C(N(C2=O)C3=CC=C(C=C3)CC4=CC=C([*])C=C4)=O)=C1)=O,,,,1.639486489268586,10.1016_j.porgcoat.2018.05.013_part_1.txt_¶Î1_Material1
OP(O)(O)=O,O=C(O[*])CCCCCCCCCCN[*],,,,1.380211241711606,10.4186_ej.2021.25.2.295_OA_part_2.txt_¶Î1_Material1
[*]C(C)C[*],[*]CC(C1=CC=CC=C1)[*],,,,1.3747483460101038,10.1177_0892705718797153_part_2.txt_¶Î1_Material1
[*]C/C=C/CCC(C=C)CC([*])C1=CC=CC=C1,C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,,,,0.9030899869919436,10.1002_app.46939_part_2.txt_¶Î1_Material1
[*]CC[*],C[Si](C)(C[*])O[*],[*]CC(C#N)[*],,,1.6998377258672457,10.1021_acs.iecr.5b01236_part_1.txt_¶Î1_Material1
[*]NC(C1=CC=C2C(C(N(C2=O)C3=CC=C(C=C3)CC4=CC=C([*])C=C4)=O)=C1)=O,[*]C(F)(C(F)([*])F)F,,,,1.9175055095525464,10.1515_polyeng-2011-0156_part_1.txt_¶Î1_Material2
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC(CCOCC[*])C,,,,1.0519239160461065,10.1002_app.46344_part_2.txt_¶Î1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[Ag+],,,,1.6190933306267428,10.1016_j.foodhyd.2013.08.011_part_4.txt_¶Î1_Material1
OP(O)(O)=O,[*]C(C=C1)=CC=C1S[*],O=C=NCCCCCCN=C=O,,,1.6963563887333322,10.1002_pat.1530_part_1.txt_¶Î1_Material1
[*]C([H])([H])C(O)([H])[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[Mg],,,1.3673559210260189,10.3390_polym11122093_part_3.txt_¶Î1_Material1
[*]C(C)C[*],[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,O=[Si]=O,,,1.1760912590556811,10.1177_0021998320948125_part_1.txt_¶Î1_Material1
[*]CC[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,,,1.141763230275788,10.1515_polyeng-2015-0350_part_2.txt_¶Î1_Material2
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,O=[Si]=O.[Ca]=O,,,,1.6304278750250238,10.1016_j.conbuildmat.2013.09.035_part_1.txt_¶Î1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,O=[Si]=O,,,,1.631443769013172,10.1016_j.indcrop.2021.113525_part_2.txt_¶Î1_Material1
N#CC(C1=CC=CC=N1)C1=CC=CC=C1,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,CCN=C=NCCCN(C)C,,,0.8864907251724818,10.1002_jbm.b.33459_part_2.txt_¶Î1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]OCCCCOC(CCC([*])=O)=O,O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Mg].O=[Mg].O,,,1.3747483460101038,10.1002_app.44777_part_2.txt_¶Î1_Material1
[*]O[C@H](C)CC([*])=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,,,1.6691308473733326,10.1016_j.ijbiomac.2019.03.227_part_2.txt_¶Î1_Material2
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[Mg+2].[OH-].[OH-],,,,1.6290016192869918,10.1002_app.47398_part_1.txt_¶Î1_Material4
[*]NC(C)C(N1CCCC1C([*])=O)=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,,,1.0170333392987805,10.1111_jfbc.12214_part_1.txt_¶Î1_Material4
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,C[N+](CCO)(CCO)[3H],,,,1.5440680443502757,10.1016_j.compscitech.2015.07.014_part_1.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],OP(O)(O)=O,O=[Ti]=O,[Zn]=O,,1.6532125137753435,10.1016_j.egypro.2014.07.137_part_1.txt_¶Î1_Material1
[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,CC1(CC(CC(C)(C1)C)N=C=O)CN=C=O,,,,1.747800090864369,10.1088_2053-1591_ab4380_part_1.txt_¶Î1_Material1
O=C([*])C1=CC=C(C=C1)OC2=CC=C(C=C2)OC3=CC=C(C=C3)[*],[*]CC(C#N)[*],,,,1.2810333672477277,10.1021_am5047125_part_3.txt_¶Î1_Material1
O=C(O[*])CCCCCCCCCCN[*],[*]OC1=C(C([*])=CC=C1C)C,O=[Si]=O,,,1.6720978579357175,10.14314_polimery.2021.7.3_OA_part_1.txt_¶Î1_Material1
CNC(CNC(CN)=O)=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]OCC[*],,1.371806458507416,10.1007_s12034-012-0404-5_part_1.txt_¶Î1_Material1
O=C(C1=CC=C(C([*])=O)C=C1)NC2=CCC(N[*])C=C2,[*]OC1OC(CO)C(OC2C(O)C(O)C([*])C(CO)O2)C(O)C1O,,,,1.6588695922019625,10.1016_j.matpr.2017.11.384_part_2.txt_¶Î1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],C[Si](C)(C[*])O[*],,,,1.812913356642856,10.1299_transjsme.2014smm0149_part_1.txt_¶Î1_Material1
[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,,,,1.7853298350107671,10.1021_acs.biomac.9b00260_part_4.txt_¶Î1_Material1
[*]CC(C1=CC=CC=C1)C/C=C/C[*],[*]CC(C1=CC=CC=C1)C/C=C/C[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,0.8169038393756602,10.1002_app.46568_part_2.txt_¶Î1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]OC1C(C(OC(C1O)OC2C3C(C(OC2CO3)[*])O)CO)O,OCC(O)CO,CCO,,1.000867721531227,10.4028_www.scientific.net_amm.364.804_part_1.txt_¶Î1_Material1
[*]C(C)C[*],[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,O=[Si]=O,,,2.290034611362518,10.1002_pc.20967_part_1.txt_¶Î1_Material1
[*]C(CCCCCO[*])=O,[Mg],,,,1.0086001717619175,10.1016_j.spmi.2014.07.011_part_3.txt_¶Î1_Material1
[*]C(CCCCC(OCCCCO[*])=O)=O,CC1(CC(CC(C)(C1)C)N=C=O)CN=C=O,,,,1.2253092817258628,10.1002_app.51453_part_1.txt_¶Î1_Material1
[*]C(CCCCCO[*])=O,[*]C(CCCCCO[*])=O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,0.255272505103306,10.1016_j.actbio.2012.10.032_part_2.txt_¶Î1_Material1
[*]OC1=C(C([*])=CC=C1C)C,O=C([*])CCCCCN[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,[*]C(C1=CC=CC=C1)CC2C(OC(C2[*])=O)=O,,1.5118833609788744,10.1179_174328910x12777566997414_part_1.txt_¶Î1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,,,,1.5624118329497274,10.1007_s10924-021-02239-7_part_3.txt_¶Î1_Material1
O=C([*])CCCCCN[*],C12[Si]34C15C3C425,,,,1.895422546039408,10.1515_polyeng-2015-0441_part_1.txt_¶Î1_Material2
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C/C=C/CCC(C=C)CC([*])C1=CC=CC=C1,,,,1.3979400086720375,10.1007_s00289-018-2273-6_part_3.txt_¶Î1_Material1
O=C([*])C1=CC=C2C=C(C=CC2=C1)OC(C3=CC=C(C=C3)O[*])=O,,,,,2.104350519242735,10.1002_pc.26151_part_1.txt_¶Î1_Material1
OS(C(F)(F)C(F)(F)OC(C(F)(F)O/C(F)=C(F)\F)(C(F)(F)F)F)(=O)=O.F/C(F)=C(F)/F,[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,,,,1.1804126328383238,10.1021_acsaem.9b02417_part_2.txt_¶Î1_Material1
O=C([*])C(C)O[*],[*]OC(CC(OC(CC([*])=O)CC)=O)C,OP(O)(O)=O,,,1.734799829588847,10.1021_am3004522_part_1.txt_¶Î1_Material1
[*]C(C)C[*],COC1=CC(/C=C/C=O)=CC(OC2=CC(C(C(OC3=CC=C(C=C3OC)C(C(CO)=O)O)CO)O)=CC=C2OC4=CC(C(C(COC5=CC=C(C=C5)C(C(CO)=O)O)=O)O)=CC=C4O)=C1,,,,1.2430380486862944,10.1002_pc.21087_part_1.txt_¶Î1_Material1
[*]CC[*],[*]CC[*],[*]C(CCCCCO[*])=O,,,1.0644579892269184,10.1002_app.50374_part_3.txt_¶Î1_Material1
OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,Cl[Ca]Cl,,,2.071882007306125,10.1039_c8tc03151g_part_2.txt_¶Î1_Material1
[*]C(C)C[*],[*]C(C)C[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,,,1.507855871695831,10.1002_app.34514_part_1.txt_¶Î1_Material1
[*]O[C@H](C)CC([*])=O,[*]C(CCCCCO[*])=O,[Mg],,,1.4507108781469191,10.1155_2014_572726_part_1.txt_¶Î1_Material1
[*]CCCC([*])OC(C)=O,[*]CC([*])Cl,,,,0.9030899869919436,10.1002_adv.21467_part_2.txt_¶Î1_Material1
[*]OC1=C(C([*])=CC=C1C)C,O=C(O[*])CCCCCCCCCCN[*],,,,1.57978359661681,10.7569_jrm.2018.634114_part_2.txt_¶Î1_Material3
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,CC1=CC(O)=C(C=C1CCCC(C2=C(C=C(C(C(C)(C)C)=C2)O)C)C3=CC(C(C)(C)C)=C(C=C3C)O)C(C)(C)C,,,,1.011570443597278,10.1002_vnl.21311_part_1.txt_¶Î1_Material1
[*]C(CCCCCO[*])=O,O=[Si]=O,,,,0.255272505103306,10.1016_j.msec.2014.04.024_part_1.txt_¶Î1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,OCC(O)CO,[H]O[H],,,1.478999131673357,10.1016_j.fbp.2020.04.006_part_2.txt_¶Î1_Material1
[*]C([H])([H])C(O)([H])[*],O=C(C(C[*])[*])N,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,-0.086186148,10.1039_c8nj02132e_part_1.txt_¶Î1_Material1
[*]CC[*],N#CC(C1=CC=CC=N1)C1=CC=CC=C1,,,,1.294466226161593,10.1002_vnl.20262_part_1.txt_¶Î1_Material1
[*]C([H])([H])C(O)([H])[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,OC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,,,1.4084095784684296,10.3390_coatings11020219_part_1.txt_¶Î1_Material1
[*]C(C)C[*],[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,[*]CCCCOCCCCOCCCCOCCCCO[*],,,1.3010299956639813,10.1021_acs.macromol.0c00159_part_2.txt_¶Î1_Material1
[*]CC(OC(O[*])=O)C,[*]C([H])([H])C(O)([H])[*],[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,,1.414973347970818,10.1007_s10965-016-0970-0_part_1.txt_¶Î1_Material1
[*]OCCCCOC(CCC([*])=O)=O,[*]C(CCCCCO[*])=O,,,,0.8325089127062363,10.1007_s00289-016-1833-x_part_2.txt_¶Î1_Material1
O=C([*])CCCCCN[*],[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,,,,1.6665179805548809,10.1016_j.matdes.2011.08.028_part_2.txt_¶Î1_Material2
[*]CC[*],[*]C1=CC(C2=NC3=CC(C4=CC=C5N=C([*])NC5=C4)=CC=C3N2)=CC=C1,,,,1.4756711883244296,10.1002_pc.23148_part_1.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C(C)C[*],,,,1.568201724066995,10.1007_s00289-016-1748-6_part_3.txt_¶Î1_Material1
[*]CC(C#N)[*],[*]CC(C#N)[*],O=[Ti]=O,,,1.7849024498866548,10.1177_0021998316687028_part_2.txt_¶Î1_Material1
O=C([*])C(C)O[*],[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,OCC(O)CO,,,1.3979400086720375,10.1016_j.ijbiomac.2016.08.034_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],[Mg],,,,1.9294189257142929,10.1016_j.compstruct.2020.112322_part_2.txt_¶Î1_Material1
O=C([*])C(C)O[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,C[N+](CCO)(CCO)[3H],,,1.5314789170422551,10.1007_s10973-012-2776-6_part_1.txt_¶Î1_Material1
[*]C([H])([H])C(O)([H])[*],[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-].[Ca+2],O=[Si]=O,,,1.0762762554042176,10.4028_www.scientific.net_kem.673.83_part_2.txt_¶Î1_Material1
O=C(C(C[*])[*])N,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,O=[Si]=O,,,-1.22184875,10.1016_j.eurpolymj.2017.01.038_part_4.txt_¶Î1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,[*]C(CCCCCO[*])=O,[*]C(CCCCCO[*])=O,,,1.2380461031287957,10.1002_star.201900239_part_1.txt_¶Î1_Material1
[*]C([H])([H])C(O)([H])[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,OCC(O)CO,[*]OCC[*],,1.5943925503754266,10.1016_j.carbpol.2019.115784_part_4.txt_¶Î1_Material1
[*]CCCC(C(O)=O)[*],[*]CC[*],,,,1.271841606536499,10.1002_pen.25186_part_2.txt_¶Î1_Material1
[*]C(C)C[*],[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O,C[N+](CCO)(CCO)[3H],,,1.4927603890268375,10.1080_00222348.2012.742816_part_2.txt_¶Î1_Material2
O=C([*])C(C)O[*],[*]CCCC([*])OC(C)=O,,,,1.505149978319906,10.1016_j.polymertesting.2016.11.003_part_2.txt_¶Î1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,,,,1.0128372247051722,10.3390_ijms11093529_part_1.txt_¶Î1_Material1
[H]N(C1=CC=C(C=C1)CC2=CC=C(C=C2)N(C(OCCO[*])=O)[H])C([*])=O,[*]CC[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,1.3944516808262162,10.1007_s12221-021-0890-4_part_1.txt_¶Î1_Material2
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,O=C([*])C(C)O[*],[*]OCCCCOC(CCC([*])=O)=O,,,1.110589710299249,10.3390_jcs5020048_part_2.txt_¶Î1_Material2
[*]C(C)C[*],C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,[*]C(C)C[*],,,1.3521825181113625,10.1177_0021998317710319_part_1.txt_¶Î1_Material1
C[Si](C)(C[*])O[*],[H]O[H],,,,-0.30980392,10.1002_app.50688_part_2.txt_¶Î1_Material1
[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,,1.7548068553544234,10.1002_app.49214_part_2.txt_¶Î1_Material1
[*]C(C1=CC=CC=C1)CC2C(OC(C2[*])=O)=O,,,,,1.230448921378274,10.1021_acs.macromol.1c00904_part_1.txt_¶Î1_Material1
O=C(O[Na])COCC1OC(OC2C(COCC(O[Na])=O)OC([*])C(O)C2O)C(O)C(O)C1O[*],OCC1OC(C(C(C1O[*])O)O)[*],,,,2.0170333392987803,10.1007_s10570-021-04009-z_part_3.txt_¶Î1_Material1
O=C([*])C1=CC=C(C=C1)OC2=CC=C(C=C2)OC3=CC=C(C=C3)[*],C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,,,,2.3010299956639813,10.1016_j.polymertesting.2020.106925_part_11.txt_¶Î1_Material2
[*]OCC[*],[*]OC1C(O)C(O)C(OC2C(CO)OC([*])C(O)C2O)OC1CO,,,,1.662757831681574,10.1007_s10570-017-1611-4_part_2.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,,,1.4712917110589383,10.1002_pat.1683_part_2.txt_¶Î1_Material1
O=C(C(C[*])[*])N,O=C(O)C([*])C[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,-0.065501549,10.1002_adv.21563_part_2.txt_¶Î1_Material1
[*]C(C)C[*],[O-]S(C1=CC=CC(O)=C1)(=O)=O.[Na+],,,,1.4404367661057738,10.1007_s00289-016-1753-9_part_4.txt_¶Î1_Material1
[*]OC1C(C(OC(C1O)OC2C3C(C(OC2CO3)[*])O)CO)O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,,1.1818435879447726,10.3390_polym11040675_part_8.txt_¶Î1_Material2
[*]OC1C(O)C(O)C(OC2C(OC(C(CO)O)=O)C(OC3C(O)C(O)C(OC4C(O)C(O)C(O[*])OC4CO)OC3C(O)=O)OC(CO)C2O)OC1C,[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,OCC(O)CO,,,1.441695135640717,10.1016_j.foodhyd.2013.06.009_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],[*]NC(C)C(N1CCCC1C([*])=O)=O,,,,1.779307827583586,10.1016_j.msec.2020.111418_part_1.txt_¶Î1_Material1
[*]CC[*],O=C(C1=CC=C(C([*])=O)C=C1)NC2=CCC(N[*])C=C2,,,,1.3453737305590885,10.1007_s10965-014-0439-y_part_2.txt_¶Î1_Material1
O=C(/C=C/C(OC(C)[*])=O)OC[*],O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[OH-],,,,1.307496037913213,10.1016_j.msec.2014.02.031_part_2.txt_¶Î1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,OC1C(OC(C(C1O)O)[*])CO[*],,,,1.4104397862103466,10.1016_j.lwt.2020.109536_part_2.txt_¶Î1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]C(CCCCCO[*])=O,O=C([O-])[O-].[Ca+2],,,1.7781512503836436,10.1016_j.polymertesting.2013.02.008_part_1.txt_¶Î1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,CC1=CC2=C(C=C1C)N(C3=NC(NC(C3=N2)=O)=O)CC(C(C(CO)O)O)O,,,,1.5766868052009957,10.1111_jfpe.12536_part_2.txt_¶Î1_Material1
[*]OC1C(C(OC(C1O)OC2C3C(C(OC2CO3)[*])O)CO)O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,O[Si](O)(O[Si](O)(O)O)O.[Al].[Al].O,,,1.6838572054003464,10.1016_j.foodhyd.2019.105471_part_1.txt_¶Î1_Material1
C/C(C[*])=C/C[*],O=[Si]=O,,,,1.2833012287035497,10.1002_app.47560_part_2.txt_¶Î1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O=C(O)C([*])C[*],CC1=CC(O)=C(C=C1CCCC(C2=C(C=C(C(C(C)(C)C)=C2)O)C)C3=CC(C(C)(C)C)=C(C=C3C)O)C(C)(C)C,,,1.7993405494535817,10.1002_app.46529_part_1.txt_¶Î1_Material1
[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,CCCCCC1OC1CC2OC2CCCCCCCC(OC(COC(CCCCCCCC3OC3CC4OC4CCCCC)=O)COC(CCCCCCCC5OC5CC6OC6CCCCC)=O)=O,,,,1.6989700043360187,10.1515_hf-2018-0160_part_1.txt_¶Î1_Material1
[*]OC(CC(OC(CC([*])=O)CC)=O)C,O=C([*])C(C)O[*],,,,1.5185139398778875,10.1002_mame.201100053_part_1.txt_¶Î1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Mg].O=[Mg].O,,,,1.848804701051804,10.1002_app.41454_part_2.txt_¶Î1_Material1
[*]O[C@@]([H])(C)C(O[C@](C)([H])C([*])=O)=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,,1.546542663478131,10.1002_app.45248_part_2.txt_¶Î1_Material2
