SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Tensile Strength (MPa) log10,À´Ô´
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[*]C(C)C[*],[*]CC[*],[*]CC[*],1.6020599913279625,10.3390_polym13091369_part_2.txt_¶Î1_Material1
[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,CC1(CC(CC(C)(C1)C)N=C=O)CN=C=O,OCCCCO,[*]CC(C#N)[*],,1.0842186867392387,10.56028_aetr.5.1.407.2023_OA_part_1.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=[Al]O[Al]=O,O=[Ti]=O,O=[Si]=O,O=[Si]=O,1.4933186082321015,10.1016_j.porgcoat.2013.07.009_part_1.txt_¶Î1_Material1
[*]C(C)C[*],[S],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,O=C(O)CCCCCCCCCCCCCCCCC,,0.8808135922807914,10.1080_00222348.2010.516711_part_1.txt_¶Î1_Material1
[*]C(C)C[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,,1.4099331233312946,10.1016_j.conbuildmat.2013.09.028_part_1.txt_¶Î1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,O=C([*])C(C)O[*],OCC(O)CO,OC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,[*]OCC[*],1.6989700043360187,10.1007_s10924-021-02207-1_part_1.txt_¶Î1_Material1
[*]CC[*],COCC1OC(OC2C(CO)OC(O[*])C(OC)C2OC)C(OC)C(O)C1O[*],[*]OC(C(C1O)O)OC(COC)C1OC(OC(C(C2O)OC3OC(C(C(C3OC)O)OC4OC(C(C(C4OC)O)[*])COC)CO)COC)C2OCC(OC)C,,,1.351409751925439,10.1002_fsn3.2240_part_1.txt_¶Î1_Material1
O=C([*])CCCCCN[*],,,,,1.843232778098009,10.3390_polym12051041_part_1.txt_¶Î1_Material1
O=C(C1=CC=C(C([*])=O)C=C1)NC2=CCC(N[*])C=C2,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,1.2671717284030135,10.1080_03602551003773163_part_1.txt_¶Î1_Material1
[*]CC([*])Cl,O=C([O-])[O-].[Ca+2],[Mg]=O,O=[Al]O[Al]=O,O=[Si]=O,1.1760912590556811,10.1002_app.51469_part_1.txt_¶Î1_Material1
[*]CC[*],O=C([O-])[O-].[Ca+2],O=C(CCCCCCCCCCCCCCCCC)O[Ca]OC(CCCCCCCCCCCCCCCCC)=O,O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Mg].O=[Mg].O,,1.1205739312058498,10.1177_8756087919846206_part_3.txt_¶Î1_Material1
